Story	Role	Character Name	Function	Verb	Text																				
135			alpha	live/lived,family,farm	Once upon a time, a family lived in the countryside in their farm.																				
			alpha	be/was,son/son/hero,simpleton	Their son was a simpleton.																				
			A4	steal/stole,witch/witch/villain,sun	One day, a witch stole the sun.																				
			A4	!grow,crops	The crops wouldn't grow anymore and the family was starving.																				
			C	chase,son,witch	The son decided to chase the witch.																				
			F43	give/gave,mother,son/him	Her mother gave him a knitted hat.																				
			H1	catch/caught,son,witch	The son ran to the faint sunlight and caught the witch.																				
			H1	fling/flung,witch,son/him	The witch flung rocks at him.																				
			I1	fling/flung,son/he,witch	He flung the rocks back at the witch and a big one hit her bag.																				
			K4	come/came,sun	Out of the witch's bag came out the sun.																				
			return	return/returned,son	With the sun high in the sky, the son returned home.																				
			Pr4	transform/transformed,witch	The witch transformed into a beautiful lady.																				
			Pr4	chase/chased,witch/she,son;entice,witch/she,son/him	Then she chased the son and tried to entice him to go with her.																				
			Rs7	show/showed,hat,son	The magical hat showed the son the witch's true intentions.																				
			Rs7	escape/escaped,son/he,witch	He escaped the witch and got home safe and sound.																				
																									
140			alpha	live/lived,mother live/lived,sons	A poor mother lived in a little house with her two sons.																				
			alpha	!feed,mother/she,sons	There was famine and she could barely feed her sons.																				
			epsilon1	walk/walked,snake//villain	One day a hungry snake walked nearby.																				
			epsilon1	look/looked,snake see/saw,snake,son/younger/sfp	The snake looked through the window and saw the younger son unattended.																				
			A1	crawl/crawled,snake; take/took,snake,son	The snake crawled in and took the younger son with her.																				
			B1	see/saw,mother,younger	The mother saw her younger son missing.																				
			B1	ask/asked,mother/she,older;look,older//hero,younger	She asked her older son to go look for his younger brother.																				
			C	be/was,older	The older brother was very responsible and agreed.																				
			depart	leave/left,older/he; go/went,older/he	He left the house and went into the woods.																				
			D9	meet/met,older/he,snake's wife/wife/villain	In the woods he met the snake's wife.																				
			D9	ask/asked,wife,older/him	The snake's wife asked him to go into her burrow.																				
			E9	agree/agreed,older	The older brother agreed.																				
			E9	turn/turned,wife;strike/struck,older/he,wife/her1;kill/killed,older/he,wife/her2	As soon as the snake's wife turned around he struck her and killed her.																				
			G6	go/went,older/he	He went into the snake's burrow.																				
			F7	eat/ate,older/he	Inside he ate the snake's eggs.																				
			I5	come/came,snake	The snake came out of the deeper part of the burrow.																				
			I5	see/saw,snake;die/died,snake	The snake saw his eggs missing and died of sadness.																				
			K4	be/was,older	The older brother now was well fed.																				
			return	retrieve/retrieved,older/he,younger	He retrieved his younger brother from the deeper part of the burrow.																				
			return	arrive/arrived,sons/they	They arrived home safely.																				
			W*	find/found,older,bride	As a strong and healthy man, the older brother quickly found a bride.																				
																									
																									
144			alpha	live/lived,girl//hero,live/lived,brother//villain	A girl lived with her brother.																				
			a1	!find,brother,bride	Her brother could not find a bride.																				
			B4	threat/threatened,father,them	Their father threatened to marry them if he would not find a bride.																				
			C	be/was,girl	The girl was terrified.																				
			C	decide/decided,girl/she;find,girl/she	She decided to try to find a bride for her brother.																				
			depart	sneak/sneaked,girl/she	At night she sneaked out of the house.																				
			F12	find/found,girl/she	She found a little box.																				
			F12	put,girl/she	She put the little box in her pocket.																				
			G1	belong,box,witches//tester	The box belong to the forest witches.																				
			G1	pull/pulled,witches/they,girl	They pulled the girl to their lair up in the trees.																				
			M	want/wanted,witches,box	The witches wanted the box open.																				
			N	open/opened,girl,box	With her delicate fingers, the girl opened the box.																				
			N	come/came,frog	From inside the box came a frog.																				
			N	put,girl,frog	The girl put the frog in her pocket.																				
			N	keep/kept,witches,box	The witches kept the box and were very happy.																				
			T3	give/gave,witches/they,girl	They gave the girl fine vests and jewelry.																				
			W	come/came,girl;see/saw,prince,girl	When the girl came down a prince saw her.																				
			W	wed,prince/he,girl/her	He wed her immediately.																				
			F2	come/came,brother	The girl's brother came to the wedding.																				
			F2	see/saw,brother/he,frog	He saw the frog in the girl's pocket.																				
			F*96	kiss/kissed,brother/he,frog;transform/transformed,frog,princess	He kissed the frog and the frog transformed into a princess.																				
			F*96	marry/married,brother,princess	The brother married the other princess and they all lived happily.																				
																									
																									
100			alpha	live/lived,couple;live/lived,boy/son/hero	An old couple lived in a hut with their adopted son.																				
			alpha	have/had,boy,bird	The boy had a magical bird that could control the weather.																				
			alpha	use/used,couple/they,bird	They used the bird's predictions to make it rain on their crops and were always prosperous.																				
			epsilon1	lean/learned,neighbor//villain,bird	A jealous neighbor learned about the bird.																				
			eta1	tell/told,neighbor,boy	The neighbor told the boy he needed to borrow the bird.																				
			theta1	!take,neighbor/him,bird/it	But the boy wouldn't let him take it.																				
			A_ii	take/took,neighbor,bird;lock/locked,neighbor,bird	The neighbor took the bird and locked it into a cage.																				
			D1_3	see/saw,mouse//tester	A mouse nearby saw everything.																				
			D1_3	ask/asked,mouse,boy	Later, the mouse asked the boy for some food.																				
			E1_3	give/gave,boy,mouse	The kind-hearted boy gave the mouse some nuts.																				
			F1_vi	!eat/eating,mouse;plant/planted,mouse	Instead of eating the nuts, the mouse planted them and from them a rock sprouted from the ground.																				
			M	tell/told,mouse,boy	The mouse told the boy that if he could break the rock, he would be able to free his bird.																				
			N	use/used,boy;break,boy	The boy used his parent's cart to break the rock.																				
			N	emerge/emerged	From inside the rock a key emerged which opened the bird's cage.																				
			W	marry/marrying,boy,girl	The boy ended up marrying a girl from the village and they all were happy.																				
																									
101			alpha	live/lived,widow	Once upon a time there lived an old widow without any children.																				
			eta1	tell/told,witch//villain,widow/her	A witch told her she would give her a child if the woman would return the child on his second birthday.																				
