@relation 'narrative-weka.filters.unsupervised.attribute.Remove-R1,7,9-12,18,20,22,25,27-29-weka.filters.unsupervised.attribute.Remove-R5,8'

@attribute 'Func. Position' numeric
@attribute 'Ratio Hero' numeric
@attribute 'Ratio Villain' numeric
@attribute 'Ratio Tester' numeric
@attribute 'Ratio Other' numeric
@attribute Motion numeric
@attribute Possession numeric
@attribute Self_motion numeric
@attribute Becoming_aware numeric
@attribute Ingestion numeric
@attribute Giving numeric
@attribute Communication numeric
@attribute Manipulation numeric
@attribute Forming_relationships numeric
@attribute 'Function Group Label' {alpha,beta,gamma,delta,epsilon,zeta,eta,theta,A,a,B,C,depart,D,E,F,G,H,J,I,K,return,Pr,Rs,o,L,M,N,Q,Ex,T,U,W}

@data
0.11805,0,0.5,0,0.5,1,0,0,0,1,0,0,0,0,alpha
0.149671,0,0.333333,0,0,0,0,0,0,0,0,0,1,0,A
0.478524,0.428571,0.285714,0,0.142857,1,0,0,0,0,0,0,0,0,B
0.5722,1,0,0,0,0,0,0,0,0,0,0,0,0,C
0.619895,0.5,0.5,0,0,1,0,0,0,0,1,0,0,0,depart
0.709354,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,H
0.722134,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,I
0.918182,0.333333,0.666667,0,0,0,0,0,0,0,0,0,0,0,K
0.98274,1,0,0,0,0,0,0,0,0,0,0,0,0,W
0.996311,1,0,0,0,0,0,0,0,0,0,0,0,0,return
0.112602,0.307692,0,0,0.692308,1,1,0,0,0,0,1,0,0,alpha
0.147059,0,0,0,1,0,0,0,0,0,0,0,0,0,gamma
0.158381,0,0,0,1,1,0,0,0,0,0,0,0,0,beta
0.181147,1,0,0,0,0,0,0,1,0,0,0,0,0,delta
0.211051,0,0.333333,0,0.666667,0,0,0,0,0,0,0,1,0,A
0.345311,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,C
0.355649,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0,depart
0.447822,0.6,0,0.4,0,0,0,0,1,1,0,0,0,0,D
0.459882,0,0,0,0,0,0,0,0,1,0,0,0,0,E
0.467512,0.5,0,0.5,0,0,0,0,1,1,0,0,0,0,F
0.599188,0.5,0,0.5,0,0,0,0,0,0,0,1,0,0,G
0.667979,0,0,0,1,0,0,1,0,0,0,0,1,0,K
0.674748,0,0,0,1,0,0,0,0,0,0,0,0,0,return
0.681147,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,Pr
0.822176,1,0,0,0,0,0,0,0,1,0,0,0,0,D
0.834728,1,0,0,0,0,0,0,0,1,0,0,0,0,E
0.839281,0.5,0,0.5,0,1,0,0,0,0,0,0,0,0,F
0.965174,0,1,0,0,0,0,0,0,0,0,0,0,0,Rs
0.086476,1,0,0,0,0,1,0,0,0,0,0,0,0,alpha
0.115525,0.5,0,0,0.375,0,0,0,0,0,0,1,0,1,F
0.118219,0.5,0,0,0.333333,0,0,0,0,0,0,0,0,1,a
0.145633,0.5,0,0,0.5,0,1,0,0,0,1,0,0,0,C
0.358696,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,depart
0.502597,0.666667,0,0,0.333333,1,0,0,0,0,0,0,0,0,T
0.5101,0.333333,0,0,0.666667,0,0,0,0,0,0,0,0,0,G
0.693632,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,W
0.73182,0.333333,0,0,0.333333,1,0,0,0,0,0,0,0,0,return
0.961331,0,0,0,1,0,0,0,0,0,0,0,0,0,I
0.992401,1,0,0,0,0,0,0,0,0,0,0,0,0,W
0.099199,0.181818,0,0,0.818182,1,1,0,0,0,1,1,0,0,alpha
0.154803,1,0,0,0,0,0,0,0,0,0,0,0,0,D
0.192743,1,0,0,0,0,0,0,0,0,1,0,0,0,E
0.225983,0.666667,0,0.333333,0,0,0,0,0,0,0,0,0,0,F
0.261834,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0.394709,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0.402802,0.666667,0,0,0.333333,0,0,0,0,0,0,0,0,0,C
0.440654,0,0,0,1,0,0,0,0,0,0,1,0,0,B
0.482597,1,0,0,0,0,0,0,0,0,0,0,0,0,depart
0.624608,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,I
0.624608,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,H
0.894622,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,H
0.908893,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,I
0.953272,0,0,0,0,0,0,0,0,0,0,0,0,0,K
0.96119,0.333333,0,0,0.333333,0,0,0,0,0,0,0,0,0,K
0.96119,0.333333,0,0,0.333333,0,0,0,0,0,0,0,0,0,return
0.978768,0,0,0,0,0,0,0,0,0,0,0,1,0,W
